City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,64.6,98,100,6.42,overcast clouds
1,Sao Filipe,CV,14.8961,-24.4956,72.09,70,99,12.08,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,48.47,89,80,2.42,broken clouds
3,Kahului,US,20.8947,-156.47,69.06,82,0,4.61,clear sky
4,Aksarka,RU,66.5606,67.7975,-14.89,99,64,6.78,broken clouds
5,Nikitinskiy,RU,54.5845,86.0115,-5.64,100,97,3.74,overcast clouds
6,Dikson,RU,73.5069,80.5464,6.53,93,100,19.19,overcast clouds
7,Vaini,TO,-21.2,-175.2,82.24,79,94,18.99,overcast clouds
8,Port Elizabeth,ZA,-33.918,25.5701,74.1,68,75,19.57,broken clouds
9,Longyearbyen,SJ,78.2186,15.6401,12.04,62,0,13.8,clear sky
10,Padang,ID,-0.9492,100.3543,77.99,86,95,3.67,overcast clouds
11,La Ronge,CA,55.1001,-105.2842,-1.95,78,100,5.75,overcast clouds
12,Nikolskoye,RU,59.7035,30.7861,28.87,96,100,6.04,snow
13,Cape Town,ZA,-33.9258,18.4232,72.01,52,0,28.77,clear sky
14,Coquimbo,CL,-29.9533,-71.3436,67.73,68,20,13.8,few clouds
15,Chuy,UY,-33.6971,-53.4616,72.19,54,61,9.01,broken clouds
16,Yerbogachen,RU,61.2767,108.0108,-21.12,100,100,4.27,overcast clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,40,9.22,scattered clouds
18,Ewa Beach,US,21.3156,-158.0072,71.69,87,0,3.0,clear sky
19,Veraval,IN,20.9,70.3667,69.6,49,1,4.29,clear sky
20,Georgetown,MY,5.4112,100.3354,83.89,86,20,0.0,few clouds
21,Thompson,CA,55.7435,-97.8558,-16.44,83,40,2.3,scattered clouds
22,Shache,CN,38.4167,77.2406,27.05,41,66,1.05,broken clouds
23,Upernavik,GL,72.7868,-56.1549,-4.36,67,100,9.35,overcast clouds
24,Hobart,AU,-42.8794,147.3294,62.46,86,100,9.22,overcast clouds
25,Nurota,UZ,40.5614,65.6886,39.29,78,98,27.96,overcast clouds
26,Cidreira,BR,-30.1811,-50.2056,74.34,57,83,12.5,broken clouds
27,Bayan,CN,46.0833,127.4,-2.79,96,64,8.41,broken clouds
28,Havelock,US,34.8791,-76.9013,45.99,60,20,3.0,few clouds
29,Aksay,RU,47.26,39.87,25.02,95,96,11.79,light snow
30,Tongliao,CN,43.6125,122.2653,9.41,85,3,8.03,clear sky
31,Sambava,MG,-14.2667,50.1667,78.44,79,26,12.64,scattered clouds
32,Madera,US,37.1666,-119.8343,61.97,53,67,3.49,broken clouds
33,Sioux Lookout,CA,50.1001,-91.917,-1.82,77,100,4.61,overcast clouds
34,Lorengau,PG,-2.0226,147.2712,82.06,78,71,9.69,broken clouds
35,Ushuaia,AR,-54.8,-68.3,56.82,76,100,3.44,overcast clouds
36,Avera,US,33.194,-82.5271,46.38,42,100,3.87,overcast clouds
37,Progreso,MX,21.2833,-89.6667,79.11,69,31,8.43,scattered clouds
38,Groningen,NL,53.25,6.75,44.02,83,100,1.01,overcast clouds
39,Kodiak,US,57.79,-152.4072,29.71,80,100,17.27,light snow
40,Berlevag,NO,70.8578,29.0864,30.15,55,40,13.8,scattered clouds
41,Gat,IL,31.61,34.7642,48.88,100,88,6.44,overcast clouds
42,Half Moon Bay,US,37.4636,-122.4286,56.89,68,0,6.91,clear sky
43,Kaitangata,NZ,-46.2817,169.8464,48.16,93,60,4.68,broken clouds
44,Zaysan,KZ,47.4667,84.8667,-5.26,85,79,3.36,broken clouds
45,Saint-Philippe,RE,-21.3585,55.7679,78.39,78,53,9.31,broken clouds
